label,Sensor_1,Sensor_2
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.68,294.54
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.89,294.52
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.98,294.58
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.84,294.54
HAND_APPROACH,0.84,294.54
HAND_APPROACH,0.83,294.54
HAND_APPROACH,0.88,294.52
HAND_APPROACH,0.87,294.58
HAND_APPROACH,0.89,294.58
HAND_APPROACH,0.8,294.54
HAND_APPROACH,0.78,294.6
HAND_APPROACH,0.83,294.54
HAND_APPROACH,0.75,294.54
HAND_APPROACH,0.8,294.58
HAND_APPROACH,0.74,294.58
HAND_APPROACH,0.71,294.64
HAND_APPROACH,0.7,294.52
HAND_APPROACH,0.69,294.64
HAND_APPROACH,0.67,294.66
HAND_APPROACH,0.62,294.66
HAND_APPROACH,0.58,294.72
HAND_APPROACH,0.58,294.76
HAND_APPROACH,0.6,294.82
HAND_APPROACH,0.53,294.78
HAND_APPROACH,0.52,294.82
HAND_APPROACH,0.5,294.78
HAND_APPROACH,0.48,294.86
HAND_APPROACH,0.46,294.94
HAND_APPROACH,0.44,294.92
HAND_APPROACH,0.44,295.0
HAND_APPROACH,0.4,294.98
HAND_APPROACH,0.39,295.0
HAND_APPROACH,0.38,295.0
HAND_APPROACH,0.38,295.0
HAND_APPROACH,0.37,295.04
HAND_APPROACH,0.36,295.1
HAND_APPROACH,0.34,295.12
HAND_APPROACH,0.33,295.12
HAND_APPROACH,0.32,295.12
HAND_APPROACH,0.32,295.12
HAND_APPROACH,0.32,295.16
HAND_APPROACH,0.31,295.2
HAND_APPROACH,0.29,295.22
HAND_APPROACH,0.32,295.22
HAND_APPROACH,0.27,295.28
HAND_APPROACH,0.26,295.34
HAND_APPROACH,0.25,295.44
HAND_APPROACH,0.28,295.52
HAND_APPROACH,0.22,295.46
HAND_APPROACH,0.21,295.58
HAND_APPROACH,0.21,295.58
HAND_APPROACH,0.2,295.68
HAND_APPROACH,0.2,295.74
HAND_APPROACH,0.19,295.84
HAND_APPROACH,0.18,295.8
HAND_APPROACH,0.18,295.86
HAND_APPROACH,0.18,295.9
HAND_APPROACH,0.18,295.92
HAND_APPROACH,0.17,296.02
HAND_APPROACH,0.17,296.04
HAND_APPROACH,0.17,296.04
HAND_APPROACH,0.17,296.04
HAND_APPROACH,0.16,296.08
HAND_APPROACH,0.16,296.2
HAND_APPROACH,0.17,296.24
HAND_APPROACH,0.16,296.26
HAND_APPROACH,0.16,296.3
HAND_APPROACH,0.14,296.42
HAND_APPROACH,0.14,296.44
HAND_APPROACH,0.13,296.5
HAND_APPROACH,0.13,296.54
HAND_APPROACH,0.13,296.56
HAND_APPROACH,0.14,296.62
HAND_APPROACH,0.12,296.68
HAND_APPROACH,0.11,296.68
HAND_APPROACH,0.11,296.78
HAND_APPROACH,0.11,296.86
HAND_APPROACH,0.1,296.96
HAND_APPROACH,0.11,297.08
HAND_APPROACH,0.1,297.18
HAND_APPROACH,0.06,297.26
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
