label,Sensor_1,Sensor_2
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
IDLE,3.12,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.13,-1.0
IDLE,3.14,-1.0
IDLE,3.13,-1.0
